Filter1,Filter2,Filter3,Filter4
BBB,BBB,DDD,CCC
BBB,BBB,DDD,AAA
DDD,AAA,CCC,BBB
DDD,AAA,AAA,AAA
CCC,AAA,DDD,DDD
AAA,AAA,BBB,BBB
DDD,CCC,CCC,CCC
DDD,DDD,AAA,AAA
DDD,AAA,BBB,BBB
DDD,DDD,CCC,AAA
AAA,DDD,AAA,CCC
AAA,BBB,CCC,AAA
CCC,BBB,BBB,CCC
CCC,AAA,BBB,BBB
BBB,DDD,DDD,DDD
AAA,AAA,BBB,AAA
AAA,BBB,DDD,BBB
AAA,DDD,CCC,CCC
CCC,BBB,CCC,DDD
CCC,DDD,DDD,AAA
DDD,CCC,CCC,AAA
AAA,CCC,BBB,DDD
CCC,CCC,DDD,CCC
DDD,BBB,AAA,DDD
CCC,AAA,AAA,BBB
AAA,CCC,AAA,AAA
BBB,CCC,DDD,DDD
DDD,CCC,BBB,BBB
CCC,AAA,CCC,BBB
DDD,CCC,CCC,BBB
CCC,BBB,BBB,DDD
AAA,AAA,AAA,AAA
CCC,AAA,BBB,DDD
DDD,DDD,DDD,AAA
BBB,BBB,BBB,CCC
CCC,AAA,BBB,CCC
DDD,CCC,CCC,BBB
CCC,BBB,DDD,CCC
AAA,AAA,BBB,BBB
DDD,AAA,BBB,CCC
CCC,CCC,BBB,DDD
AAA,BBB,AAA,DDD
DDD,BBB,CCC,AAA
DDD,BBB,BBB,AAA
BBB,BBB,CCC,BBB
BBB,DDD,AAA,AAA
BBB,BBB,CCC,DDD
BBB,CCC,CCC,BBB
AAA,BBB,DDD,BBB
AAA,BBB,AAA,AAA
DDD,CCC,CCC,CCC
CCC,DDD,DDD,AAA
BBB,CCC,AAA,DDD
AAA,CCC,BBB,BBB
CCC,BBB,DDD,BBB
DDD,AAA,CCC,CCC
DDD,CCC,DDD,DDD
BBB,BBB,CCC,DDD
CCC,AAA,CCC,CCC
BBB,AAA,AAA,CCC
DDD,BBB,AAA,DDD
DDD,AAA,DDD,BBB
BBB,CCC,DDD,CCC
CCC,BBB,CCC,CCC
CCC,BBB,AAA,BBB
BBB,DDD,BBB,DDD
BBB,BBB,BBB,AAA
CCC,AAA,CCC,DDD
BBB,AAA,BBB,AAA
AAA,CCC,DDD,DDD
AAA,AAA,DDD,BBB
DDD,BBB,CCC,BBB
CCC,DDD,BBB,DDD
CCC,BBB,BBB,AAA
AAA,DDD,DDD,AAA
DDD,CCC,BBB,CCC
BBB,AAA,DDD,BBB
DDD,CCC,BBB,AAA
CCC,CCC,BBB,BBB
CCC,DDD,CCC,CCC
CCC,AAA,AAA,AAA
DDD,BBB,BBB,DDD
CCC,CCC,CCC,BBB
CCC,AAA,CCC,CCC
DDD,DDD,AAA,BBB
CCC,CCC,DDD,CCC
DDD,AAA,CCC,AAA
CCC,BBB,CCC,AAA
BBB,DDD,AAA,BBB
BBB,BBB,BBB,DDD
BBB,CCC,BBB,AAA
BBB,AAA,CCC,AAA
DDD,BBB,CCC,BBB
AAA,BBB,CCC,BBB
BBB,DDD,CCC,AAA
DDD,AAA,BBB,DDD
BBB,CCC,DDD,CCC
DDD,CCC,BBB,CCC
BBB,CCC,DDD,CCC
BBB,CCC,CCC,DDD
