RuleId,Priority,Filter1,Filter2,Filter3,Filter4,OutputValue
1,404,BBB,BBB,CCC,AAA,7974
2,739,DDD,<ANY>,BBB,DDD,5134
3,541,AAA,AAA,CCC,DDD,2764
4,853,<ANY>,<ANY>,DDD,AAA,7062
5,648,CCC,DDD,AAA,AAA,8128
6,299,DDD,<ANY>,<ANY>,DDD,13025
7,214,CCC,BBB,CCC,DDD,19783
8,676,DDD,BBB,<ANY>,<ANY>,17684
9,454,DDD,AAA,<ANY>,AAA,6747
10,809,BBB,<ANY>,BBB,BBB,11332
11,849,CCC,BBB,CCC,BBB,19913
12,227,DDD,DDD,CCC,BBB,8510
13,255,DDD,<ANY>,BBB,BBB,15881
14,745,CCC,AAA,CCC,DDD,4925
15,613,CCC,AAA,<ANY>,DDD,11671
16,329,CCC,<ANY>,BBB,CCC,12216
17,73,CCC,BBB,BBB,DDD,13591
18,680,CCC,DDD,DDD,AAA,14463
19,916,<ANY>,<ANY>,DDD,DDD,2751
20,405,AAA,DDD,AAA,CCC,13867
21,167,DDD,DDD,BBB,AAA,15432
22,553,<ANY>,CCC,CCC,BBB,11051
23,703,CCC,BBB,AAA,DDD,7278
24,595,<ANY>,AAA,CCC,BBB,12399
25,847,DDD,DDD,BBB,DDD,3872
26,71,<ANY>,AAA,<ANY>,CCC,14527
27,965,DDD,AAA,DDD,BBB,3585
28,460,AAA,BBB,BBB,DDD,6997
29,983,CCC,DDD,BBB,CCC,10689
30,189,AAA,<ANY>,CCC,BBB,16241
31,500,DDD,<ANY>,DDD,AAA,8873
32,984,<ANY>,<ANY>,DDD,AAA,1624
33,859,BBB,AAA,CCC,CCC,8888
34,81,CCC,CCC,BBB,DDD,3724
35,791,<ANY>,CCC,CCC,AAA,11910
36,765,DDD,BBB,<ANY>,AAA,4143
37,918,DDD,AAA,BBB,DDD,9554
38,429,CCC,BBB,<ANY>,BBB,3556
39,117,BBB,DDD,AAA,CCC,969
40,425,AAA,<ANY>,BBB,<ANY>,9632
41,660,BBB,<ANY>,AAA,DDD,9633
42,615,DDD,DDD,DDD,AAA,4199
43,506,CCC,CCC,CCC,<ANY>,15744
44,368,<ANY>,AAA,AAA,BBB,16170
45,651,<ANY>,BBB,CCC,CCC,19246
