RuleId,Priority,Filter1,Filter2,Filter3,Filter4,OutputValue
1,247,AAA,CCC,BBB,CCC,89
2,926,<ANY>,DDD,DDD,CCC,17
3,492,BBB,AAA,BBB,DDD,84
4,367,BBB,CCC,DDD,DDD,72
5,339,<ANY>,BBB,<ANY>,DDD,67
6,815,CCC,<ANY>,AAA,BBB,49
7,636,CCC,<ANY>,<ANY>,DDD,48
8,89,<ANY>,AAA,AAA,CCC,82
9,65,AAA,CCC,AAA,BBB,6
10,542,CCC,AAA,DDD,CCC,88
11,631,BBB,AAA,BBB,CCC,30
12,370,DDD,AAA,AAA,<ANY>,93
13,478,BBB,BBB,BBB,AAA,35
14,533,<ANY>,BBB,DDD,AAA,76
15,918,<ANY>,<ANY>,CCC,DDD,23
16,852,CCC,BBB,BBB,BBB,85
17,21,DDD,CCC,AAA,CCC,2
18,813,DDD,DDD,<ANY>,DDD,14
19,286,CCC,CCC,DDD,DDD,19
20,387,AAA,BBB,DDD,<ANY>,100
21,743,<ANY>,BBB,<ANY>,BBB,91
22,195,DDD,AAA,CCC,BBB,81
23,817,DDD,BBB,BBB,CCC,84
24,85,DDD,DDD,BBB,DDD,64
25,885,<ANY>,BBB,DDD,CCC,40
26,586,<ANY>,AAA,<ANY>,AAA,60
27,24,DDD,AAA,BBB,<ANY>,15
28,669,AAA,BBB,CCC,AAA,94
29,634,CCC,<ANY>,<ANY>,AAA,2
30,731,AAA,<ANY>,<ANY>,DDD,47
31,834,AAA,<ANY>,CCC,<ANY>,62
32,561,DDD,BBB,AAA,<ANY>,52
33,11,BBB,DDD,<ANY>,DDD,90
34,371,<ANY>,BBB,DDD,AAA,88
35,385,<ANY>,<ANY>,DDD,CCC,79
36,592,BBB,DDD,<ANY>,<ANY>,21
37,937,AAA,CCC,CCC,DDD,50
38,947,DDD,BBB,<ANY>,AAA,92
39,769,CCC,<ANY>,AAA,DDD,25
40,539,BBB,CCC,AAA,CCC,27
41,975,CCC,DDD,AAA,<ANY>,23
42,115,<ANY>,AAA,AAA,BBB,2
43,447,DDD,BBB,<ANY>,DDD,73
44,827,DDD,DDD,AAA,BBB,15
45,2,BBB,AAA,DDD,<ANY>,49
46,130,<ANY>,CCC,DDD,DDD,13
47,29,AAA,DDD,DDD,<ANY>,67
48,703,CCC,DDD,DDD,BBB,26
49,348,BBB,BBB,BBB,<ANY>,32
50,266,BBB,AAA,AAA,<ANY>,58
